timestamp ba_x ba_y ba_z bg_x bg_y bg_z
2765.400000 -0.72656864 -0.40905768 0.04477714 -0.00046220 0.00014573 0.00113383
2765.460000 -0.72656863 -0.40905767 0.04477714 -0.00044739 -0.00154079 -0.00260517
2765.528000 -0.72656859 -0.40905766 0.04477708 -0.00057966 -0.00081956 -0.00070316
2765.600000 -0.72656858 -0.40905746 0.04477716 -0.00046282 -0.00130244 0.00009387
2765.660000 -0.72656842 -0.40905745 0.04477712 0.00093228 0.00036518 -0.00089055
2765.764000 -0.72656844 -0.40905765 0.04477707 0.00071785 0.00040173 0.00299505
2765.832000 -0.72656863 -0.40905734 0.04477711 -0.00099335 -0.00006130 -0.00121614
2765.896000 -0.72656853 -0.40905763 0.04477710 -0.00019982 -0.00056812 0.00231563
2765.968000 -0.72656836 -0.40905790 0.04477719 0.00064830 0.00179844 0.00293767
2766.032000 -0.72656835 -0.40905789 0.04477719 -0.00142186 0.00022638 0.00117668
2766.100000 -0.72656837 -0.40905786 0.04477723 -0.00043675 0.00003151 -0.00145483
2766.196000 -0.72656829 -0.40905778 0.04477728 -0.00060973 -0.00042526 0.00171444
2766.264000 -0.72656829 -0.40905775 0.04477728 0.00160495 -0.00049004 0.00211384
2766.328000 -0.72656842 -0.40905724 0.04477730 -0.00214676 -0.00237730 -0.00471995
2766.400000 -0.72656838 -0.40905647 0.04477728 0.00247562 0.00035480 0.00632735
2766.464000 -0.72656825 -0.40905710 0.04477721 -0.00029843 0.00050378 0.00166843
2766.528000 -0.72656822 -0.40905714 0.04477729 -0.00106132 -0.00072747 0.00023212
2766.628000 -0.72656847 -0.40905699 0.04477753 -0.00156142 0.00059616 0.00021074
2766.700000 -0.72656846 -0.40905697 0.04477753 0.00050445 0.00152333 0.00146259
2766.800000 -0.72656846 -0.40905693 0.04477752 0.00221060 0.00063938 -0.00046543
2766.864000 -0.72656852 -0.40905698 0.04477752 -0.00028558 0.00108388 0.00187992
2766.944000 -0.72656861 -0.40905695 0.04477749 0.00235610 0.00017438 0.00248457
2767.032000 -0.72656832 -0.40905721 0.04477735 -0.00163381 0.00085427 -0.00017424
2767.096000 -0.72656833 -0.40905719 0.04477734 0.00032317 -0.00132149 -0.00045940
2767.160000 -0.72656833 -0.40905718 0.04477733 0.00110661 0.00014409 0.00078766
2767.264000 -0.72656829 -0.40905719 0.04477731 -0.00054838 -0.00088577 -0.00045374
2767.328000 -0.72656832 -0.40905718 0.04477729 0.00046872 -0.00067110 -0.00140531
2767.400000 -0.72656822 -0.40905715 0.04477722 -0.00190198 0.00183376 0.00006939
2767.500000 -0.72656823 -0.40905695 0.04477721 -0.00023164 -0.00026918 -0.00205543
2767.564000 -0.72656826 -0.40905697 0.04477722 0.00244301 0.00083633 0.00062444
2767.628000 -0.72656817 -0.40905706 0.04477726 -0.00425063 0.00066289 -0.00275140
2767.696000 -0.72656814 -0.40905695 0.04477727 0.00082617 0.00143421 -0.00263436
2767.760000 -0.72656814 -0.40905694 0.04477727 -0.00152252 -0.00040246 -0.00123000
2767.832000 -0.72656810 -0.40905678 0.04477720 0.00023964 0.00059219 -0.00016666
2767.972000 -0.72656808 -0.40905670 0.04477719 -0.00063457 0.00033835 0.00049880
2768.032000 -0.72656819 -0.40905662 0.04477722 0.00455023 0.00230560 -0.00061529
2768.096000 -0.72656817 -0.40905663 0.04477719 0.00123810 0.00131032 -0.00125291
2768.160000 -0.72656817 -0.40905666 0.04477725 -0.00379526 -0.00251970 -0.00102311
2768.224000 -0.72656813 -0.40905657 0.04477721 -0.00011121 0.00002195 0.00149707
2768.300000 -0.72656807 -0.40905659 0.04477720 -0.00145499 -0.00097070 -0.00042847
2768.356000 -0.72656806 -0.40905665 0.04477719 0.00027176 0.00093814 0.00084925
2768.428000 -0.72656804 -0.40905663 0.04477719 -0.00088705 -0.00234613 -0.00059037
2768.500000 -0.72656790 -0.40905676 0.04477716 0.00040529 -0.00102235 -0.00030058
2768.560000 -0.72656793 -0.40905677 0.04477719 -0.00226485 0.00042122 -0.00107864
2768.624000 -0.72656793 -0.40905675 0.04477719 0.00065363 -0.00068594 0.00040014
2768.700000 -0.72656797 -0.40905684 0.04477724 0.00108823 0.00039693 0.00144078
2768.764000 -0.72656793 -0.40905682 0.04477725 0.00302556 0.00079184 0.00262745
2768.828000 -0.72656799 -0.40905665 0.04477728 0.00091746 0.00061849 -0.00093092
2768.896000 -0.72656798 -0.40905663 0.04477728 0.00116717 -0.00026890 0.00376235
2768.960000 -0.72656786 -0.40905672 0.04477731 -0.00199274 0.00043472 -0.00113388
2769.028000 -0.72656786 -0.40905671 0.04477731 -0.00199677 -0.00088833 0.00013701
2769.100000 -0.72656783 -0.40905662 0.04477738 0.00105698 0.00118183 0.00040534
2769.200000 -0.72656787 -0.40905666 0.04477727 -0.00044903 0.00069971 0.00168763
2769.296000 -0.72656793 -0.40905624 0.04477735 -0.00031584 -0.00014823 -0.00361454
2769.364000 -0.72656766 -0.40905472 0.04477745 0.00079302 -0.00090500 0.00545065
2769.468000 -0.72656768 -0.40905416 0.04477753 0.00151872 -0.00010129 0.00163547
2769.532000 -0.72656768 -0.40905416 0.04477753 0.00067049 0.00226493 -0.00002269
2769.600000 -0.72656758 -0.40905410 0.04477747 0.00397687 -0.00017785 0.00131165
2769.660000 -0.72656750 -0.40905426 0.04477746 0.00148631 0.00153472 0.00068262
2769.728000 -0.72656750 -0.40905424 0.04477745 -0.00294633 -0.00036138 0.00046118
2769.796000 -0.72656749 -0.40905423 0.04477744 0.00097187 0.00101224 0.00013350
2769.868000 -0.72656745 -0.40905426 0.04477747 -0.00045469 0.00018067 -0.00132841
2769.996000 -0.72656756 -0.40905425 0.04477746 -0.00072858 0.00085571 -0.00080905
2770.064000 -0.72656756 -0.40905419 0.04477743 0.00013298 -0.00325773 -0.00000799
2770.160000 -0.72656780 -0.40905409 0.04477759 0.00158394 0.00203326 -0.00012914
2770.264000 -0.72656778 -0.40905407 0.04477759 0.00048831 -0.00084631 -0.00085936
2770.324000 -0.72656783 -0.40905412 0.04477773 0.00248633 0.00210443 -0.00012185
2770.400000 -0.72656777 -0.40905442 0.04477775 -0.00558845 0.00005110 -0.00733854
